tahun,nama_provinsi,nama_kota,jarak
2012,Banten,Serang,84
2012,Jawa Barat,Bogor,60
2012,Jawa Barat,Cianjur,128
2012,Jawa Barat,Bandung,176
2012,Jawa Barat,Tasikmalaya,291
2012,Jawa Barat,Cikampek,89
2012,Jawa Barat,Cirebon,252
2012,Jawa Tengah,Tegal,319
2012,Jawa Tengah,Pemalang,348
2012,Jawa Tengah,Pekalongan,384
2012,Jawa Tengah,Purwokerto,413
2012,Jawa Tengah,Kebumen,482
2012,Yogyakarta,Yogyakarta,582
2012,Jawa Tengah,Magelang,563
2012,Jawa Tengah,Semarang,482
2012,Jawa Tengah,Surakarta,657
2012,Jawa Tengah,Demak,508
2012,Jawa Tengah,Rembang,591
2012,Jawa Timur,Tuban,686
2012,Jawa Timur,Madiun,747
2012,Jawa Timur,Nganjuk,752
2012,Jawa Timur,Surabaya,789
2012,Jawa Timur,Probolinggo,973
2012,Jawa Timur,Panarukan,1074
2012,Jawa Timur,Banyuwangi,1171
2012,Jawa Timur,Malang,964
2012,Jawa Timur,Blitar,1044
2012,Jawa Timur,Lumajang,1143
2012,Jawa Timur,Jember,1203
2012,Bali,Gilimanuk,1181
2012,Bali,Denpasar,1295
